Counter,Loss,Accuracy,IoU,DiceCoeff,DiceLoss
0,0.5071,0.7901,0.4546,0.6075,0.5273
0,0.3959,0.8635,0.5819,0.7259,0.4773
0,0.3492,0.8735,0.6424,0.7753,0.4138
0,0.3185,0.8846,0.6755,0.7994,0.3836
0,0.2981,0.8915,0.6971,0.8153,0.3611
0,0.2351,0.9153,0.7661,0.8658,0.2984
0,0.2640,0.8932,0.7028,0.8242,0.3153
0,0.2577,0.8971,0.7051,0.8254,0.3176
0,0.2333,0.9067,0.7394,0.8491,0.2868
0,0.2162,0.9139,0.7596,0.8621,0.2704
0,0.2272,0.9007,0.7274,0.8419,0.2685
0,0.2245,0.9069,0.7085,0.8288,0.2963
0,0.1947,0.9161,0.7733,0.8709,0.2316
0,0.1864,0.9193,0.7781,0.8739,0.2284
0,0.1837,0.9193,0.7788,0.8746,0.2245
